# Метеостанция Алматы, Казахстан, WMO_ID=36870, выборка с 01.01.2018 по 09.04.2018, все дни;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Кодировка: UTF-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Местное время в Алматы;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
09.04.2018 21:00;12,5;691,6;764,3;1,4;48;Ветер, дующий с востока;1;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;17,3;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;1,8;Следы осадков;12;;;;
09.04.2018 18:00;14,9;690,2;762,2;0,8;45;;;;;50%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;2000-2500;Высококучевые просвечивающие, расположенные на одном уровне.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";20,0;3,0;;;;;;
09.04.2018 15:00;16,7;689,4;760,7;0,1;49;Ветер, дующий с юга;2;;;100%.; ;;;;;"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";10%  или менее, но не 0;1000-1500;Высококучевые просвечивающие, расположенные на одном уровне.;"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба.";10,0;5,8;;;;;;
09.04.2018 12:00;14,1;689,3;761,4;-1,2;47;Штиль, безветрие;0;;;100%.; ;;;3,5;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба.";20,0;3,0;;;;;;
09.04.2018 09:00;7,9;690,5;764,4;0,9;66;Ветер, дующий с юго-запада;1;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высокослоистые просвечивающие.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;20,0;1,9;;;Поверхность почвы влажная.;1,0;;
09.04.2018 06:00;3,7;689,6;764,6;-0,8;81;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;0,7;;;;;;
09.04.2018 03:00;5,8;690,4;764,9;-1,5;70;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;;0,7;;;;;;
09.04.2018 00:00;6,8;691,9;766,3;-1,3;74;Штиль, безветрие;0;;;20–30%.; ;;;;14,9;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;2,4;;;;;;
08.04.2018 21:00;9,8;693,2;766,8;-0,3;69;Штиль, безветрие;0;;;20–30%.; ;;;;14,9;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;;4,4;;;;;;
08.04.2018 18:00;12,7;693,5;766,4;-0,2;53;Штиль, безветрие;0;;;70 – 80%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10,0;3,4;;;;;;
08.04.2018 15:00;13,6;693,7;766,4;-1,2;45;Ветер, дующий с юго-запада;1;;;60%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10,0;1,9;;;;;;
08.04.2018 12:00;7,3;694,9;769,5;0,3;86;Штиль, безветрие;0;;;100%.;Дымка. ;Ливень (ливни).;Ливень (ливни).;5,3;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;4,0;5,1;13;12;;;;
08.04.2018 09:00;5,5;694,6;769,6;0,9;91;Штиль, безветрие;0;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Ливень (ливни).;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;4,0;4,2;13;12;Поверхность почвы влажная.;7,0;;
08.04.2018 06:00;5,5;693,7;768,6;1,1;91;Штиль, безветрие;0;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Ливень (ливни).;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;4,2;;;;;;
08.04.2018 03:00;8,1;692,6;766,6;-0,2;92;Штиль, безветрие;0;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Ливень (ливни).;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;6,9;;;;;;
08.04.2018 00:00;8,2;692,8;766,8;0,2;93;Ветер, дующий с запада;1;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;17,8;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;7,2;6;12;;;;
07.04.2018 21:00;9,3;692,6;766,2;0,7;95;Штиль, безветрие;0;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;17,8;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;;8,5;6;12;;;;
07.04.2018 18:00;10,5;691,9;765,1;1,9;89;Штиль, безветрие;0;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;300-600;;;4,0;8,8;;;;;;
07.04.2018 15:00;14,9;690,0;761,9;0,2;54;Штиль, безветрие;0;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;10,0;5,6;;;;;;
07.04.2018 12:00;16,9;689,8;761,1;-0,4;46;Ветер, дующий с северо-запада;1;;;100%.; ;;;13,5;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";10,0;5,1;;;;;;
07.04.2018 09:00;15,4;690,2;762,0;0,5;55;Штиль, безветрие;0;;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;10,0;6,3;;;Поверхность почвы сухая (без трещин и без заметного количества пыли или несвязанного песка).;9,0;;
07.04.2018 06:00;14,0;689,7;761,8;2,0;56;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";;5,2;;;;;;
07.04.2018 03:00;14,8;687,7;759,4;0,8;54;Штиль, безветрие;0;;;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые плотные, образовавшиеся от кучево-дождевых.;;5,5;;;;;;
07.04.2018 00:00;16,6;686,9;758,0;-0,4;49;Ветер, дующий с западо-юго-запада;1;;;100%.; ;;;;26,3;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые плотные, образовавшиеся от кучево-дождевых.;;5,9;;;;;;
06.04.2018 21:00;17,2;687,3;758,3;0,4;41;Штиль, безветрие;0;;;100%.; ;;;;26,3;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые плотные, образовавшиеся от кучево-дождевых.;;3,9;;;;;;
06.04.2018 18:00;22,8;686,9;756,4;-0,2;35;Штиль, безветрие;0;;;100%.;Видимость ухудшена дымом, например: от степных или лесных пожаров, промышленных предприятий или вулканическим пеплом. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся; сплошная пелена, поднимающаяся над горизонтом выше 45°, не покрывает всего неба.";4,0;6,7;;;;;;
